Focus,Category,Romanian,English
0,Adjectives: Appearance,blond,blonde
0,Adjectives: Appearance,bogat,rich
0,Adjectives: Appearance,brunet,brunette
0,Adjectives: Appearance,creț,curly
0,Adjectives: Appearance,drept,straight
0,Adjectives: Appearance,frumos,beautiful
1,Adjectives: Appearance,gras,fat
0,Adjectives: Appearance,înalt,tall
0,Adjectives: Appearance,ondulat,wavy
0,Adjectives: Appearance,puternic,strong
0,Adjectives: Appearance,sănătos,healthy
0,Adjectives: Appearance,sărac,poor
0,Adjectives: Appearance,scund,short
0,Adjectives: Appearance,slab,thin
0,Adjectives: Appearance,urât,ugly
0,Adjectives: Appearance,îmbrăcat,dressed
0,Adjectives: Colours,albastru,blue
0,Adjectives: Colours,alb,white
0,Adjectives: Colours,colorat,coloured
0,Adjectives: Colours,galben,yellow
0,Adjectives: Colours,gri,grey
0,Adjectives: Colours,maro,brown
0,Adjectives: Colours,mov,purple
0,Adjectives: Colours,negru,black
0,Adjectives: Colours,portocaliu,orange
0,Adjectives: Colours,roșu,red
0,Adjectives: Colours,roz,pink
0,Adjectives: Colours,verde,green
0,Adjectives: Difficulty,complicat,complicated
0,Adjectives: Difficulty,dificil,difficult
0,Adjectives: Difficulty,greu,hard
0,Adjectives: Difficulty,imposibil,impossible
0,Adjectives: Difficulty,simplu,simple
0,Adjectives: Difficulty,prost,stupid
0,Adjectives: Difficulty,teribil,terrible
0,Adjectives: Difficulty,ușor,easy
0,Adjectives: Food,copt,baked
0,Adjectives: Food,fiert,boiled
0,Adjectives: Food,murat,pickled
0,Adjectives: Food,prăjit,fried
0,Adjectives: Food,proaspăt,fresh
0,Adjectives: Misc,acoperit,covered
0,Adjectives: Misc,adevărat,true
0,Adjectives: Misc,fals,false
1,Adjectives: Misc,greșit,wrong
0,Adjectives: Misc,important,important
0,Adjectives: Misc,interesat,interested
1,Adjectives: Misc,interzis,banned
1,Adjectives: Misc,minunat,wonderful
0,Adjectives: Misc,mort,dead
0,Adjectives: Misc,necesar,necessary
0,Adjectives: Misc,negativ,negative
0,Adjectives: Misc,personal,private
